epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.813,1.00601,2.8355,1.35244,0.0062,0.44898,0.20614,0.13304,0.99752,3.26636,1.43074,0.00025005,0.00025005,0.00025005
2,209.523,0.97879,1.82793,1.34106,0.94678,0.04048,0.35395,0.23225,1.03422,3.09375,1.35661,0.00046561,0.00046561,0.00046561
3,309.398,0.936,1.62159,1.2515,0.97022,0.21564,0.48393,0.33843,1.05654,2.87933,1.3846,0.000628359,0.000628359,0.000628359
4,420.785,0.95174,1.49001,1.28585,0.86424,0.2748,0.52636,0.33731,1.23203,2.67224,1.65466,0.000738298,0.000738298,0.000738298
5,532.439,0.93446,1.41163,1.23846,0.75862,0.34547,0.54981,0.4063,1.08922,2.49427,1.38552,0.000795426,0.000795426,0.000795426
6,608.345,0.91081,1.35484,1.2158,0.90604,0.56232,0.6704,0.50586,1.0876,2.03016,1.36792,0.000799743,0.000799743,0.000799743
7,682.022,0.89331,1.28459,1.20348,0.88817,0.6639,0.73857,0.52832,1.13417,1.78246,1.42462,0.000676802,0.000676802,0.000676802
8,755.576,0.84491,1.19919,1.17963,0.86339,0.68368,0.7594,0.55046,1.14091,1.59876,1.43477,0.000511769,0.000511769,0.000511769
9,829.032,0.82673,1.14211,1.15879,0.89249,0.6643,0.77109,0.58244,1.01989,1.49241,1.33448,0.000346736,0.000346736,0.000346736
10,904.162,0.76402,1.07785,1.12434,0.8848,0.70545,0.79382,0.60513,1.00093,1.33305,1.3591,0.000181703,0.000181703,0.000181703
