epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9292,1.01406,2.09101,1.33143,0.69625,0.58491,0.63,0.42457,1.11551,2.75018,1.57195,0.0005001,0.0005001,0.0005001
2,17.3143,1.05271,1.35266,1.33472,0.56166,0.50172,0.46834,0.28343,1.37573,2.23259,1.73556,0.000996736,0.000996736,0.000996736
3,24.7979,1.16235,1.27656,1.42527,0.65925,0.51886,0.56023,0.36852,1.37393,1.80527,1.83661,0.00147291,0.00147291,0.00147291
4,30.9535,1.15763,1.32067,1.42815,0.6696,0.49202,0.53597,0.33355,1.40129,1.94799,1.81192,0.00156798,0.00156798,0.00156798
5,38.2934,1.15216,1.20224,1.43056,0.77177,0.51534,0.59767,0.36748,1.48161,1.84842,1.94722,0.00153497,0.00153497,0.00153497
6,44.4024,1.16012,1.16946,1.46678,0.80373,0.58944,0.66879,0.41929,1.31229,1.47471,1.65728,0.00150197,0.00150197,0.00150197
7,51.9018,1.08669,1.07456,1.38287,0.6685,0.60814,0.61813,0.40129,1.3618,1.44763,1.61499,0.00146896,0.00146896,0.00146896
8,58.0257,1.10994,1.08841,1.38988,0.77564,0.62762,0.70508,0.45029,1.30775,1.42439,1.5706,0.00143595,0.00143595,0.00143595
9,65.4435,1.06444,1.06699,1.37434,0.78758,0.66554,0.71869,0.46737,1.2314,1.28032,1.53689,0.00140295,0.00140295,0.00140295
10,72.8736,1.04014,1.00768,1.33832,0.85914,0.60201,0.68771,0.45694,1.29597,1.27339,1.58093,0.00136994,0.00136994,0.00136994
11,80.0571,1.0713,1.00485,1.35998,0.85246,0.67653,0.75189,0.4927,1.22828,1.11181,1.53301,0.00133693,0.00133693,0.00133693
12,86.5853,1.05011,1.00036,1.35311,0.82316,0.71784,0.7619,0.5077,1.18523,1.08688,1.47129,0.00130393,0.00130393,0.00130393
13,93.8475,0.9972,0.92831,1.31204,0.82842,0.69275,0.75812,0.52608,1.12526,1.04754,1.41358,0.00127092,0.00127092,0.00127092
14,100.272,0.95626,0.91212,1.27265,0.84033,0.7412,0.79603,0.55818,1.09305,1.02751,1.4146,0.00123791,0.00123791,0.00123791
15,107.346,0.90638,0.89915,1.26698,0.9001,0.72608,0.80436,0.54586,1.1434,1.02448,1.42723,0.00120491,0.00120491,0.00120491
16,113.818,0.93405,0.88267,1.29651,0.89727,0.71791,0.79432,0.54638,1.16581,0.97113,1.45947,0.0011719,0.0011719,0.0011719
17,120.783,0.91887,0.87347,1.27401,0.86378,0.68059,0.77024,0.53417,1.19445,1.01699,1.48174,0.00113889,0.00113889,0.00113889
18,127.354,0.95327,0.88084,1.29387,0.82742,0.73247,0.77079,0.54578,1.08754,0.93594,1.38716,0.00110589,0.00110589,0.00110589
19,133.991,0.90391,0.83602,1.227,0.89572,0.67895,0.79216,0.56227,1.06132,0.91986,1.35514,0.00107288,0.00107288,0.00107288
20,140.566,0.90162,0.83272,1.24139,0.88337,0.69238,0.78174,0.57615,1.03818,0.92994,1.3541,0.00103987,0.00103987,0.00103987
21,147.639,0.8878,0.80761,1.24975,0.83218,0.74703,0.79064,0.58607,1.02598,0.91771,1.36035,0.00100687,0.00100687,0.00100687
